dataset,shvit_feature,dhvit_feature,linear_cka,mean_pairwise_cosine,mse
imagenet200,patch_embed,patch_embed,0.9616447841014061,0.9337703585624695,0.19275085628032684
imagenet200,blocks1,blocks1,0.5276779984216764,0.9486436247825623,0.6285809874534607
imagenet200,pooled,feat_A,0.35652021718017146,0.6296085715293884,27.205549240112305
imagenet200,pooled,feat_B,0.351662989200587,0.6017186045646667,28.712312698364258
imagenet200,pooled,feat_mean,0.33101150142077396,0.8714038133621216,8.753684043884277
imagenet200,logits,logits_ensemble,0.7814926034327443,0.7197383046150208,2.443419933319092
imagenetr,patch_embed,patch_embed,0.9793301892860011,0.9588026404380798,0.1480034589767456
imagenetr,blocks1,blocks1,0.9623695451335557,0.9739721417427063,0.25981035828590393
imagenetr,pooled,feat_A,0.5029167085007621,0.6460288763046265,26.407398223876953
imagenetr,pooled,feat_B,0.4656316065759678,0.5989530086517334,29.147977828979492
imagenetr,pooled,feat_mean,0.5048361081247701,0.8811996579170227,8.445906639099121
imagenetr,logits,logits_ensemble,0.794392159008188,0.7400976419448853,2.9116902351379395
